inhibited,T_C,form,Nf
0,25,pchip,1016502.20759898
0,30,pchip,1015716.08752304
0,35,pchip,1007329.55518779
0,40,pchip,993397.042135345
0,45,pchip,975758.857357507
0,50,pchip,955978.435184235
0,55,pchip,935330.787694265
0,60,pchip,897269.040087268
0,65,pchip,834130.24683067
0,70,pchip,759486.311488792
0,75,pchip,683560.573008074
0,80,pchip,612573.000182355
0,85,pchip,549527.069692431
0,25,arrh,1099332.69619837
0,30,arrh,1034500.91890253
0,35,arrh,975615.282699013
0,40,arrh,921979.285859665
0,45,arrh,872993.804598727
0,50,arrh,828141.454080398
0,55,arrh,786973.763332932
0,60,arrh,749100.60678979
0,65,arrh,714181.455058997
0,70,arrh,681918.099677576
0,75,arrh,652048.577875752
0,80,arrh,624342.078806665
0,85,arrh,598594.656048674
0,25,linT,1097792.65530076
0,30,linT,1041302.86807043
0,35,linT,987895.998661097
0,40,linT,937392.383135344
0,45,linT,889623.576113077
0,50,linT,844431.600955843
0,55,linT,801668.253323799
0,60,linT,761194.454090293
0,65,linT,722879.647915498
0,70,linT,686601.24407107
0,75,linT,652244.096374603
0,80,linT,619700.019337758
0,85,linT,588867.337857096
0,25,wcorr,1097513.77015197
0,30,wcorr,1023855.02755208
0,35,wcorr,958840.397978044
0,40,wcorr,901735.514360984
0,45,wcorr,851887.581786729
0,50,wcorr,807879.020007199
0,55,wcorr,768590.232311059
0,60,wcorr,733874.177114515
0,65,wcorr,703589.759575303
0,70,wcorr,676856.448082615
0,75,wcorr,652894.263145167
0,80,wcorr,631718.477011076
0,85,wcorr,613343.21935579
1,25,pchip,1164629.3566493
1,30,pchip,1237004.82649611
1,35,pchip,1284844.25652903
1,40,pchip,1312918.41257661
1,45,pchip,1326687.20536693
1,50,pchip,1331497.66513443
1,55,pchip,1332150.00356908
1,60,pchip,1297657.50784444
1,65,pchip,1210403.44015262
1,70,pchip,1094421.18409657
1,75,pchip,969382.218064319
1,80,pchip,848703.449382935
1,85,pchip,740041.119063183
1,25,arrh,1307740.43472954
1,30,arrh,1252994.15114707
1,35,arrh,1202261.35666823
1,40,arrh,1155155.70332403
1,45,arrh,1111335.93823664
1,50,arrh,1070499.79376572
1,55,arrh,1032378.81223857
1,60,arrh,996733.946958273
1,65,arrh,963351.810457238
1,70,arrh,932041.464392409
1,75,arrh,902631.664310928
1,80,arrh,874968.487717417
1,85,arrh,848913.286195859
1,25,linT,1314378.69748792
1,30,linT,1265176.26048208
1,35,linT,1217862.27665043
1,40,linT,1172362.97231012
1,45,linT,1128607.49421514
1,50,linT,1086527.79274262
1,55,linT,1046058.50979074
1,60,linT,1007136.87119698
1,65,linT,969702.583493142
1,70,linT,933697.734821032
1,75,linT,899066.699840055
1,80,linT,865756.048464635
1,85,linT,833714.458276186
1,25,wcorr,1294729.32255495
1,30,wcorr,1235310.06971714
1,35,wcorr,1181583.47864053
1,40,wcorr,1133318.25876935
1,45,wcorr,1090299.22626637
1,50,wcorr,1051581.21327781
1,55,wcorr,1016390.32255304
1,60,wcorr,984772.97000956
1,65,wcorr,956767.887118008
1,70,wcorr,931700.685663557
1,75,wcorr,908942.489452814
1,80,wcorr,888592.557759075
1,85,wcorr,870745.322960532
