fold,inhibited,dK,log_v_measured,log_v_predicted,err_decades,factor
LOTO-25C,0,5,-7.86640882217208,-7.93252337339755,-0.0661145512254713,0.858786974589649
LOTO-25C,0,8,-6.9611994483089,-7.28902034583696,-0.32782089752806,0.470087932279854
LOTO-25C,0,12,-6.18028884720785,-6.76993767123723,-0.589648824029379,0.257247507762872
LOTO-25C,1,5,-7.92852121026796,-8.37495633958038,-0.446435129312414,0.357737831985333
LOTO-25C,1,8,-6.99372944221046,-7.3182023666066,-0.324472924396134,0.473725841161891
LOTO-25C,1,12,-6.18729855166113,-6.40376388201029,-0.216465330349161,0.607483756247592
LOTO-55C,0,5,-7.82073031351505,-7.73049694114407,0.0902333723709861,1.23093004537758
LOTO-55C,0,8,-6.98749137437021,-6.68351435860002,0.30397701577019,2.01361768006209
LOTO-55C,0,12,-6.2686685919111,-6.05938124186214,0.209287350048957,1.61915099122348
LOTO-55C,1,5,-7.98925905907101,-7.83661268039941,0.152646378671601,1.42117113694904
LOTO-55C,1,8,-7.02715547978322,-6.82769212375099,0.19946335603223,1.58293599949491
LOTO-85C,0,5,-7.60937729248559,-7.81775996869991,-0.208382676214318,0.618895498352857
LOTO-85C,0,8,-6.56899542437764,-6.99356832842757,-0.424572904049929,0.376207193900859
LOTO-85C,0,12,-5.67147353225282,-6.44186230764031,-0.770388775387487,0.169672408467494
LOTO-85C,1,5,-7.72402548558825,-8.0180050908162,-0.293979605227952,0.508183306643059
LOTO-85C,1,8,-6.85599816482747,-6.99875932329397,-0.142761158466507,0.719844749912834
LOTO-85C,1,12,-6.10716396535983,-6.20605588704775,-0.098891921687918,0.796357506898905
