file,label,T_C,inhibited,n,C,C_lo,C_hi,m,m_lo,m_hi,R2,sigma_dex,C_published,m_published,m_dev_pct,verdict
fig12_bm,BM,NaN,0,24,2.80003816607336e-11,2.22477552891992e-11,3.51894277182483e-11,3.76989532576784,3.64635196756473,3.88467126058444,0.994965326530519,0.0554536924839624,3e-11,3.7741,-0.111408659870085,PASS
fig12_fsw,FSW,NaN,0,22,1.15635000485444e-11,9.1547873003542e-12,2.06559615297138e-11,4.28005972566884,3.89656228895133,4.42625225089642,0.987365669032198,0.0767862086152222,9e-12,4.246,0.802160284240157,PASS
fig12_fswc_25c,FSW.C 25C,25,0,29,1.08112044747775e-11,7.43203522243297e-12,1.54620804073135e-11,4.43469258660999,4.26941298669564,4.62115736586216,0.992544618294847,0.0812828072966333,7e-12,4.5757,-3.08165774395207,FAIL
fig12_fswc_55c,FSW.C 55C,55,0,28,2.11836911688071e-11,1.11215115502945e-11,3.33800058005379e-11,4.08210371323321,3.84594938635381,4.44903128305641,0.977277326369212,0.118936548023084,2e-11,4.0869,-0.11735757583471,PASS
fig12_fswc_85c,FSW.C 85C,85,0,19,6.73028025711623e-12,3.20884554698795e-12,1.49852412061086e-11,5.09691336718204,4.69553032362681,5.52240901077722,0.9837023396624,0.0995400366308548,7e-12,5.0928,0.0807682842845089,PASS
fig14_fswc_25c,FSW.C 25C(b),25,0,32,1.10098829728618e-11,7.78314896747596e-12,1.51857818752435e-11,4.43135399200816,4.27956884364072,4.60086971747941,0.992332388402307,0.0809590680103132,7e-12,4.5757,-3.15462132552038,info
fig14_fswc_55c,FSW.C 55C(b),55,0,28,2.11656848513074e-11,1.18013165579364e-11,3.37008769651484e-11,4.08208576702477,3.84197117852935,4.41980285930662,0.97743890776348,0.118475329152053,2e-11,4.0869,-0.117796691263144,info
fig14_fswc_85c,FSW.C 85C(b),85,0,19,6.80788354607065e-12,3.16789967072532e-12,1.64149721393532e-11,5.08780613389772,4.63828652064906,5.52983328739304,0.98354479556404,0.0998733597643416,7e-12,5.0928,-0.0980573771260937,info
fig14_fswi_25c,FSW.I 25C,25,1,16,7.42099977674424e-12,5.2397115335288e-12,9.71136171215548e-12,4.57961908429727,4.44224117683986,4.76581304726027,0.996804441754465,0.0387716032393652,9e-11,3.7706,21.4559774120105,info
fig14_fswi_55c,FSW.I 55C,55,1,14,5.2023608638198e-12,3.33323448260847e-12,8.50086711851985e-12,4.71342181578352,4.35063214302984,4.93811800565683,0.952419601422322,0.157965089136155,3e-12,5.4579,-13.6403778782404,info
fig14_fswi_85c,FSW.I 85C,85,1,26,2.0117790310777e-11,1.29153325488483e-11,3.05082874305664e-11,4.25253475659939,4.05854796020913,4.49939006662586,0.988601960601518,0.081770061957661,2e-11,4.3437,-2.09879235215623,info
