dK,dadN
3.46951653614201,2.11632438594606e-09
3.60576750943061,2.79749174248046e-09
3.6759883415375,3.66028894123627e-09
3.90903338067751,4.17269204672108e-09
4.05091182605213,4.42432464135798e-09
4.16265339431964,5.45401548461364e-09
4.29684830910687,6.42800055404341e-09
4.47614047588454,8.01604551899828e-09
4.65996305777309,9.04680465247781e-09
4.88892721083142,1.1220513388054e-08
5.09542581292772,1.27807295334054e-08
5.30671910754403,1.60420084764264e-08
5.63366127761707,1.75232196473702e-08
5.91278971866677,2.13819540229366e-08
6.11514919611576,2.38128128676388e-08
6.55785416770978,2.80525441360793e-08
7.2473178433551,3.16787893426714e-08
7.49978627557851,5.2832878669405e-08
8.09693102300877,1.06928942857868e-07
9.39113727091959,1.96182957315099e-07
11.1457913228868,4.18327205613034e-07
12.3817215592117,6.3908855760119e-07
