dK,dadN
3.7313296415029,2.35358183953002e-09
3.84745181301871,3.18783524293733e-09
4.01553538569152,4.25974077235049e-09
4.3076769521393,5.8284401254627e-09
4.58488115928818,7.26352889198937e-09
4.92083136860726,9.58162972837824e-09
5.32657872342806,1.4361421824326e-08
5.60176848120786,2.39498204015125e-08
5.93775904337351,6.85641468073453e-09
6.42689643916538,4.06226418558549e-08
8.14584321982184,1.13522213493751e-07
8.64812579500306,1.51948019031259e-07
9.26682050939547,2.20818816145799e-07
10.6317507922713,3.40269786869543e-07
